,Index Levels
2024-02-26,115.67114766863186
2024-02-27,115.67457743975535
2024-02-28,115.84281241411877
2024-02-29,115.74439739325096
2024-03-01,115.4310852778353
2024-03-04,115.79551286344818
2024-03-05,115.95906794335255
2024-03-06,115.74466424602915
2024-03-07,115.12175730126519
2024-03-08,115.35747206232566
2024-03-11,115.63410257503844
2024-03-12,114.93669074053082
2024-03-13,115.09883290506849
2024-03-14,115.81259431699554
2024-03-15,115.40999825738994
2024-03-18,115.6149563504542
2024-03-19,115.54997229912779
2024-03-20,115.24873187201558
2024-03-21,115.29459106516558
2024-03-22,115.3881789251441
2024-03-25,115.68507376333883
2024-03-26,115.81899497031829
2024-03-27,115.86128732298857
2024-03-28,116.00362063572177
2024-04-01,116.34872050693957
2024-04-02,116.5619509932674
2024-04-03,116.70882389643079
2024-04-04,116.66709580461627
2024-04-05,116.76526050594934
2024-04-08,117.02166655272916
2024-04-09,117.07441695756462
2024-04-10,117.23222999035549
2024-04-11,116.7882595507742
2024-04-12,116.81969537869006
2024-04-15,117.4062979147242
2024-04-16,117.64859644775075
2024-04-17,118.13234441376055
2024-04-18,118.45324573967275
2024-04-19,118.23754146361841
2024-04-22,118.47335666383968
2024-04-23,118.25602410334359
2024-04-24,118.67663442042681
2024-04-25,118.67717251166859
2024-04-26,118.51162580316891
2024-04-29,118.96966000335173
2024-04-30,118.1765200939634
2024-05-01,118.29746729389502
2024-05-02,118.5164132833394
2024-05-03,118.1914368762638
2024-05-06,118.20500630928376
2024-05-07,118.3620246208344
2024-05-08,118.554895394865
2024-05-09,118.63750652823137
2024-05-10,118.7388933231132
2024-05-13,119.28528557212417
2024-05-14,119.18921614014263
2024-05-15,118.08709853348138
2024-05-16,118.64940021888121
2024-05-17,118.97597396247512
2024-05-20,119.26375462327336
2024-05-21,119.30540115658539
2024-05-22,119.64376781570313
2024-05-23,119.78081240060841
2024-05-24,120.12411439459106
2024-05-28,120.93672073237582
2024-05-29,121.00471112557526
2024-05-30,121.1865431605435
2024-05-31,120.98071611183207
2024-06-03,121.58652260408263
2024-06-04,121.76192595302172
2024-06-05,121.16298492684439
2024-06-06,121.28269743475748
2024-06-07,121.51634466376187
2024-06-10,121.81976746225489
2024-06-11,121.73692279771282
2024-06-12,121.67884246515266
2024-06-13,121.65153022758638
2024-06-14,121.80379129166579
2024-06-17,121.51041088995727
2024-06-18,121.52929441716786
2024-06-20,121.70333892458652
2024-06-21,121.62010672298523
2024-06-24,121.80588569801131
2024-06-25,121.71827418225764
2024-06-26,121.73023467544004
2024-06-27,121.77700574700361
2024-06-28,122.12031272988183
2024-07-01,122.19774248319158
2024-07-02,121.94416356944481
2024-07-03,121.77121050090098
2024-07-05,121.62666504186222
2024-07-08,121.75411088606424
2024-07-09,121.94546541479097
2024-07-10,121.4784259189943
2024-07-11,121.44411275366843
2024-07-12,121.41898529819589
2024-07-15,121.5743995009563
2024-07-16,121.39804934900845
2024-07-17,121.01444318492145
2024-07-18,121.10866808736859
2024-07-19,120.731107035017
2024-07-22,120.30350553075347
2024-07-23,120.4231234280791
2024-07-24,118.87355779512231
2024-07-25,118.97857037978207
2024-07-26,118.70728355607459
2024-07-29,119.09418438471513
2024-07-30,119.23391204308047
2024-07-31,118.25458631464899
2024-08-01,118.1525527504337
2024-08-02,117.36655339517272
2024-08-05,114.72362874768507
2024-08-06,115.16374037745646
2024-08-07,114.90563434294218
2024-08-08,114.68721052472219
2024-08-09,115.03135423653539
2024-08-12,116.04454397371542
2024-08-13,115.52947628971387
2024-08-14,115.75247803319728
2024-08-15,114.32209067650598
2024-08-16,114.58606172926248
2024-08-19,114.81624031979352
2024-08-20,114.97651480538961
2024-08-21,115.20089210831992
2024-08-22,115.34177162993973
2024-08-23,115.19872741971383
2024-08-26,115.74147845179405
2024-08-27,115.95465511390319
2024-08-28,116.38014334206207
2024-08-29,116.66009486832021
2024-08-30,116.59701022041058
2024-09-03,116.67510185601427
2024-09-04,116.90987188741325
2024-09-05,117.89258689541352
2024-09-06,117.12105693482695
2024-09-09,117.9561230376296
2024-09-10,118.24722359459793
2024-09-11,118.34470207021018
2024-09-12,118.7525584333192
2024-09-13,119.1543491435726
2024-09-16,120.5623169661591
2024-09-17,122.44552306471753
2024-09-18,122.91145232848476
2024-09-19,121.34787316561113
2024-09-20,122.03217296045362
